hive,direction,month,dayofmonth,year,hourofday,temp,weight
83,West,11,26,2019,11,18.2835,
83,West,11,26,2019,12,22.349,
83,West,11,26,2019,13,19.7545,
83,West,11,26,2019,14,29.004,
83,West,11,26,2019,15,34.8435,
83,West,11,26,2019,16,34.9685,
83,West,11,26,2019,17,35.093,
83,West,11,26,2019,18,34.937,
83,West,11,26,2019,19,34.9995,
83,West,11,26,2019,20,35.093,
83,West,11,26,2019,21,35.311,
83,West,11,26,2019,22,35.2805,
83,West,11,26,2019,23,35.3425,
83,West,11,27,2019,0,35.249,
83,West,11,27,2019,1,35.3425,
83,West,11,27,2019,2,35.249,
83,West,11,27,2019,3,35.249,
83,West,11,27,2019,4,35.436,
83,West,11,27,2019,5,35.53,
83,West,11,27,2019,6,35.4365,
83,West,11,27,2019,7,35.467,
83,West,11,27,2019,8,35.4985,
83,West,11,27,2019,9,35.374,
83,West,11,27,2019,10,35.249,
83,West,11,27,2019,11,35.1865,
83,West,11,27,2019,12,34.9995,
83,West,11,27,2019,13,35.1865,
83,West,11,27,2019,14,35.3425,
83,West,11,27,2019,15,35.405,
83,West,11,27,2019,16,35.4365,
83,West,11,27,2019,17,35.436,
83,West,11,27,2019,18,35.374,
83,West,11,27,2019,19,35.1245,
83,West,11,27,2019,20,35.0305,
83,West,11,27,2019,21,34.8435,
83,West,11,27,2019,22,33.4705,
83,West,11,27,2019,23,31.692,
83,West,11,28,2019,0,30.8805,
83,West,11,28,2019,1,32.004,
83,West,11,28,2019,2,33.221,
83,West,11,28,2019,3,33.9075,
83,West,11,28,2019,4,34.282,
83,West,11,28,2019,5,34.5005,
83,West,11,28,2019,6,34.6875,
83,West,11,28,2019,7,34.8125,
83,West,11,28,2019,8,34.968,
83,West,11,28,2019,9,34.594,
83,West,11,28,2019,10,33.7515,
83,West,11,28,2019,11,33.3775,
83,West,11,28,2019,12,34.438,
83,West,11,28,2019,13,34.937,
83,West,11,28,2019,14,34.937,
83,West,11,28,2019,15,34.5005,
83,West,11,28,2019,16,34.438,
83,West,11,28,2019,17,34.4695,
83,West,11,28,2019,18,33.6895,
83,West,11,28,2019,19,32.909,
83,West,11,28,2019,20,31.9415,
83,West,11,28,2019,21,31.598,
83,West,11,28,2019,22,31.3485,
83,West,11,28,2019,23,31.2235,
83,West,11,29,2019,0,30.5365,
83,West,11,29,2019,1,30.849,
83,West,11,29,2019,2,30.2555,
83,West,11,29,2019,3,28.163,
83,West,11,29,2019,4,27.289,
83,West,11,29,2019,5,27.5385,
83,West,11,29,2019,6,28.195,
83,West,11,29,2019,7,30.9735,
83,West,11,29,2019,8,32.9405,
83,West,11,29,2019,9,33.627,
83,West,11,29,2019,10,34.0635,
83,West,11,29,2019,11,34.0015,
83,West,11,29,2019,12,32.8775,
83,West,11,29,2019,13,31.973,
83,West,11,29,2019,14,32.7845,
83,West,11,29,2019,15,33.2215,
83,West,11,29,2019,16,33.4395,
83,West,11,29,2019,17,33.377,
83,West,11,29,2019,18,33.3775,
83,West,11,29,2019,19,33.2525,
83,West,11,29,2019,20,33.4395,
83,West,11,29,2019,21,33.2525,
83,West,11,29,2019,22,33.5955,
83,West,11,29,2019,23,33.908,
83,West,11,30,2019,0,33.814,
83,West,11,30,2019,1,34.5005,
83,West,11,30,2019,2,34.282,
83,West,11,30,2019,3,34.563,
83,West,11,30,2019,4,34.3135,
83,West,11,30,2019,5,34.6255,
83,West,11,30,2019,6,34.8435,
83,West,11,30,2019,7,34.9995,
83,West,11,30,2019,8,34.937,
83,West,11,30,2019,9,34.968,
83,West,11,30,2019,10,35.062,
83,West,11,30,2019,11,34.937,
83,West,11,30,2019,12,35.0615,
83,West,11,30,2019,13,34.968,
83,West,11,30,2019,14,35.218,
83,West,11,30,2019,15,35.1245,
83,West,11,30,2019,16,34.9995,
83,West,11,30,2019,17,34.999,
83,West,11,30,2019,18,34.5625,
83,West,11,30,2019,19,34.126,
83,West,11,30,2019,20,33.97,
83,West,11,30,2019,21,34.0635,
83,West,11,30,2019,22,34.095,
83,West,11,30,2019,23,34.1575,
83,West,12,1,2019,0,34.1885,
83,West,12,1,2019,1,34.282,
83,West,12,1,2019,2,34.5005,
83,West,12,1,2019,3,34.6875,
83,West,12,1,2019,4,34.5625,
83,West,12,1,2019,5,34.438,
83,West,12,1,2019,6,34.6875,
83,West,12,1,2019,7,34.937,
83,West,12,1,2019,8,34.7815,
83,West,12,1,2019,9,34.5625,
83,West,12,1,2019,10,34.719,
83,West,12,1,2019,11,34.5,
83,West,12,1,2019,12,34.095,
83,West,12,1,2019,13,34.5625,
83,West,12,1,2019,14,34.968,
83,West,12,1,2019,15,34.688,
83,West,12,1,2019,16,34.875,
83,West,12,1,2019,17,34.968,
83,West,12,1,2019,18,34.5625,
83,West,12,1,2019,19,34.0635,
83,West,12,1,2019,20,33.5645,
83,West,12,1,2019,21,33.377,
83,West,12,1,2019,22,33.471,
83,West,12,1,2019,23,33.3145,
83,West,12,2,2019,0,33.19,
83,West,12,2,2019,1,33.0335,
83,West,12,2,2019,2,33.221,
83,West,12,2,2019,3,32.9715,
83,West,12,2,2019,4,33.4085,
83,West,12,2,2019,5,33.7515,
83,West,12,2,2019,6,33.502,
83,West,12,2,2019,7,33.8765,
83,West,12,2,2019,8,33.939,
83,West,12,2,2019,9,33.5955,
83,West,12,2,2019,10,33.4395,
83,West,12,2,2019,11,33.5955,
83,West,12,2,2019,12,34.0945,
83,West,12,2,2019,13,34.6875,
83,West,12,2,2019,14,32.597,
83,West,12,2,2019,15,33.783,
83,West,12,2,2019,16,34.5005,
83,West,12,2,2019,17,34.6565,
83,West,12,2,2019,18,34.594,
83,West,12,2,2019,19,34.438,
83,West,12,2,2019,20,34.5315,
83,West,12,2,2019,21,34.469,
83,West,12,2,2019,22,34.438,
83,West,12,2,2019,23,34.3755,
83,West,12,3,2019,0,34.376,44.690783715
83,West,12,3,2019,1,34.4695,44.700197025
83,West,12,3,2019,2,34.594,44.70749416333334
83,West,12,3,2019,3,34.1885,44.714098075
83,West,12,3,2019,4,34.3755,44.72000875916667
83,West,12,3,2019,5,34.282,44.72606538333333
83,West,12,3,2019,6,34.438,44.72898423749999
83,West,12,3,2019,7,34.1575,44.729932865
83,West,12,3,2019,8,34.126,44.72533567083334
83,West,12,3,2019,9,33.814,44.71216433333333
83,West,12,3,2019,10,33.5955,44.66954903833334
83,West,12,3,2019,11,33.9385,44.6198190325
83,West,12,3,2019,12,34.594,44.59208990083334
83,West,12,3,2019,13,34.9995,44.54502335083333
83,West,12,3,2019,14,34.8435,44.53316549916667
83,West,12,3,2019,15,34.75,44.53345738416667
83,West,12,3,2019,16,34.469,44.5367410975
83,West,12,3,2019,17,34.2195,44.54071804
83,West,12,3,2019,18,33.908,44.52707238833333
83,West,12,3,2019,19,33.346,44.51390105083333
83,West,12,3,2019,20,32.909,44.50561879916666
83,West,12,3,2019,21,32.4095,44.50795388166667
83,West,12,3,2019,22,32.191,44.506749855
83,West,12,3,2019,23,32.316,44.50302831333334
83,West,12,4,2019,0,32.0975,44.50383099916667
83,West,12,4,2019,1,32.1285,44.499963515833336
83,West,12,4,2019,2,31.4105,44.50072971416666
83,West,12,4,2019,3,31.411,44.4997081125
83,West,12,4,2019,4,31.5045,44.49744600166667
83,West,12,4,2019,5,31.567,44.50514448583333
83,West,12,4,2019,6,31.7235,44.50324722916667
83,West,12,4,2019,7,31.6605,44.495986574166665
83,West,12,4,2019,8,31.4735,44.492556915833326
83,West,12,4,2019,9,31.661,44.47464244083333
83,West,12,4,2019,10,31.9415,44.4505253925
83,West,12,4,2019,11,32.722,44.39152802
83,West,12,4,2019,12,32.3785,44.33760215916666
83,West,12,4,2019,13,32.5345,44.28922212416666
83,West,12,4,2019,14,32.472,44.25693228083333
83,West,12,4,2019,15,32.94,44.169549036666666
83,West,12,4,2019,16,34.095,44.16316404
83,West,12,4,2019,17,34.7815,44.16918418166667
83,West,12,4,2019,18,34.438,44.12693374166667
83,West,12,4,2019,19,34.188,44.11755691916667
83,West,12,4,2019,20,33.7205,44.106392295
83,West,12,4,2019,21,33.627,44.09727087083333
83,West,12,4,2019,22,33.658,44.09300204416667
83,West,12,4,2019,23,33.5955,44.09041155916668
83,West,12,5,2019,0,33.5645,44.08647110583333
83,West,12,5,2019,1,33.845,44.08581436083333
83,West,12,5,2019,2,33.814,44.08603327583333
83,West,12,5,2019,3,33.783,44.08570490333333
83,West,12,5,2019,4,33.9075,44.088331876666665
83,West,12,5,2019,5,33.9075,44.09092236166666
83,West,12,5,2019,6,33.97,44.08844133083334
83,West,12,5,2019,7,33.814,44.086799475
83,West,12,5,2019,8,33.627,44.08176445
83,West,12,5,2019,9,33.2835,44.06432428583333
83,West,12,5,2019,10,32.9715,44.02937098833333
83,West,12,5,2019,11,33.4395,44.0108727375
83,West,12,5,2019,12,33.252,43.98055312333333
83,West,12,5,2019,13,33.4085,43.96745475916666
83,West,12,5,2019,14,33.377,43.95307939416667
83,West,12,5,2019,15,33.7515,43.94815382416667
83,West,12,5,2019,16,33.783,43.94527145333333
83,West,12,5,2019,17,33.783,43.95019702166667
83,West,12,5,2019,18,33.5645,43.95074431
83,West,12,5,2019,19,33.127,43.9564360775
83,West,12,5,2019,20,32.8155,43.96376970333333
83,West,12,5,2019,21,32.753,43.97081144333333
83,West,12,5,2019,22,32.5345,43.97887478249999
83,West,12,5,2019,23,32.0975,43.98726649333333
83,West,12,6,2019,0,32.316,43.99376094666667
83,West,12,6,2019,1,31.973,44.002262115
83,West,12,6,2019,2,31.38,44.0134267375
83,West,12,6,2019,3,31.0675,44.027619674166665
83,West,12,6,2019,4,30.943,44.03630327
83,West,12,6,2019,5,30.568,44.04564361083334
83,West,12,6,2019,6,30.537,44.04597198
83,West,12,6,2019,7,30.537,44.05480152083334
83,West,12,6,2019,8,30.4745,44.057756860000005
83,West,12,6,2019,9,30.162,44.044147695
83,West,12,6,2019,10,30.4435,44.01010654
83,West,12,6,2019,11,31.754,43.974387042500005
83,West,12,6,2019,12,31.7235,43.9412580275
83,West,12,6,2019,13,31.8795,43.92476649166667
83,West,12,6,2019,14,32.4095,43.89601576166667
83,West,12,6,2019,15,32.3785,43.87977962666667
83,West,12,6,2019,16,32.441,43.87492702916666
83,West,12,6,2019,17,32.4095,43.876897255
83,West,12,6,2019,18,31.754,43.880837711666665
83,West,12,6,2019,19,31.6915,43.88528896916666
83,West,12,6,2019,20,31.411,43.881895798333325
83,West,12,6,2019,21,31.505,43.88258902583333
83,West,12,6,2019,22,30.8805,43.893060420833336
83,West,12,6,2019,23,29.9125,43.90214535916667
83,West,12,7,2019,0,29.7875,43.90871278416666
83,West,12,7,2019,1,28.476,43.913492411666674
83,West,12,7,2019,2,27.164,43.91900175166666
83,West,12,7,2019,3,26.1955,43.92513134916667
83,West,12,7,2019,4,25.289,43.93476357333333
83,West,12,7,2019,5,25.2265,43.946037654166666
83,West,12,7,2019,6,24.8205,43.96081436333333
83,West,12,7,2019,7,23.6635,43.97201547083333
83,West,12,7,2019,8,23.6015,43.9734019275
83,West,12,7,2019,9,23.945,43.96322241666667
83,West,12,7,2019,10,24.226,43.932063631666665
83,West,12,7,2019,11,25.7265,43.89196584916667
83,West,12,7,2019,12,26.6015,43.85974898
83,West,12,7,2019,13,29.631,43.82661996416667
83,West,12,7,2019,14,32.0355,43.80695417333334
83,West,12,7,2019,15,32.004,43.79907326333333
83,West,12,7,2019,16,31.8475,43.78232632833333
83,West,12,7,2019,17,31.255,43.79443958083333
83,West,12,7,2019,18,31.3485,43.76908202083334
83,West,12,7,2019,19,30.5365,43.76415645083333
83,West,12,7,2019,20,30.537,43.80053269166667
83,West,12,7,2019,21,30.568,43.80377991833333
83,West,12,7,2019,22,30.443,43.92268680666666
83,West,12,7,2019,23,30.0685,43.929436660833325
83,West,12,8,2019,0,30.162,43.9208260375
83,West,12,8,2019,1,29.194,43.94019994166666
83,West,12,8,2019,2,28.5695,43.99091506166667
83,West,12,8,2019,3,28.3825,43.99792031583333
83,West,12,8,2019,4,28.257,44.02346030583334
83,West,12,8,2019,5,27.3515,44.0380545825
83,West,12,8,2019,6,26.9765,44.03382224333333
83,West,12,8,2019,7,26.164,44.033712785
83,West,12,8,2019,8,25.8205,44.03163310166667
83,West,12,8,2019,9,25.3205,44.024773790000005
83,West,12,8,2019,10,24.2265,44.0055823125
83,West,12,8,2019,11,24.0705,43.97767075416667
83,West,12,8,2019,12,24.164,43.9621643325
83,West,12,8,2019,13,25.7575,43.94111208583333
83,West,12,8,2019,14,27.32,43.9337054875
83,West,12,8,2019,15,29.5375,43.9263353775
83,West,12,8,2019,16,30.3185,43.92578809333333
83,West,12,8,2019,17,30.2555,43.92666374916666
83,West,12,8,2019,18,30.0995,43.9281961475
83,West,12,8,2019,19,29.975,43.93060420333333
83,West,12,8,2019,20,29.194,43.9344716875
83,West,12,8,2019,21,28.8195,43.93790134333333
83,West,12,8,2019,22,27.851,43.94045534333333
83,West,12,8,2019,23,27.445,44.24350554416667
83,West,12,9,2019,0,26.8515,44.4855881475
83,West,12,9,2019,1,26.2575,44.52535755833333
83,West,12,9,2019,2,27.8515,44.51142002333333
83,West,12,9,2019,3,29.0065,44.4969352025
83,West,12,9,2019,4,28.3505,44.49638791583334
83,West,12,9,2019,5,28.1635,44.52189141916667
83,West,12,9,2019,6,28.663,44.54235989333333
83,West,12,9,2019,7,27.351,44.53765324083333
83,West,12,9,2019,8,26.289,44.53199795583333
83,West,12,9,2019,9,25.2575,44.61872446
83,West,12,9,2019,10,27.2885,44.9450160525
83,West,12,9,2019,11,30.443,44.871679801666666
83,West,12,9,2019,12,30.412,44.79808814916667
83,West,12,9,2019,13,30.6305,44.71781961666667
83,West,12,9,2019,14,31.13,44.63404845333333
83,West,12,9,2019,15,31.879,44.594826329166665
83,West,12,9,2019,16,31.4735,44.58048744916667
83,West,12,9,2019,17,31.1925,44.5712565675
83,West,12,9,2019,18,30.693,44.57851722083333
83,West,12,9,2019,19,29.756,44.58891564583333
83,West,12,9,2019,20,28.8195,44.59497227166667
83,West,12,9,2019,21,29.038,44.496570345
83,West,12,9,2019,22,28.3825,44.58701838916667
83,West,12,9,2019,23,28.07,44.61627991833333
83,West,12,10,2019,0,27.476,44.63003502750001
83,West,12,10,2019,1,26.5705,44.6454319925
83,West,12,10,2019,2,27.164,43.24138937666667
83,West,12,10,2019,3,27.2575,43.19428634083334
83,West,12,10,2019,4,28.101,44.12759048416667
83,West,12,10,2019,5,27.7575,44.34187098666666
83,West,12,10,2019,6,29.2565,44.32939287666667
83,West,12,10,2019,7,28.819,44.3061514875
83,West,12,10,2019,8,30.256,44.19961325083333
83,West,12,10,2019,9,30.2245,44.560091945833335
83,West,12,10,2019,10,29.881,44.71336836083333
83,West,12,10,2019,11,29.319,44.65940601416667
83,West,12,10,2019,12,31.161,44.60132078416667
83,West,12,10,2019,13,32.7215,44.54287069583334
83,West,12,10,2019,14,33.8765,44.46099678833334
83,West,12,10,2019,15,34.126,44.409041155833336
83,West,12,10,2019,16,34.563,44.36471103416667
83,West,12,10,2019,17,33.9075,44.34241827083333
83,West,12,10,2019,18,34.095,44.29276123666667
83,West,12,10,2019,19,34.001,44.3085595425
83,West,12,10,2019,20,33.627,44.3181917675
83,West,12,10,2019,21,33.502,44.321293051666665
83,West,12,10,2019,22,33.315,44.333406304166665
83,West,12,10,2019,23,33.252,44.342162871666666
83,West,12,11,2019,0,33.2525,44.3511383525
83,West,12,11,2019,1,32.9715,44.36795825916667
83,West,12,11,2019,2,32.3785,44.37368651416667
83,West,12,11,2019,3,32.316,44.38299036750001
83,West,12,11,2019,4,32.129,44.39798599
83,West,12,11,2019,5,31.567,44.40469935583334
83,West,12,11,2019,6,31.3795,44.41217892583333
83,West,12,11,2019,7,30.599,44.42060712166667
83,West,12,11,2019,8,30.412,44.4359676
83,West,12,11,2019,9,29.163,44.42560566083333
83,West,12,11,2019,10,29.5375,44.403312900833335
83,West,12,11,2019,11,30.568,44.36066112166667
83,West,12,11,2019,12,32.1915,44.33887915833333
83,West,12,11,2019,13,33.7205,44.302466431666666
83,West,12,11,2019,14,34.6875,44.27462784333333
83,West,12,11,2019,15,34.469,44.2395650875
83,West,12,11,2019,16,34.344,44.209172505
83,West,12,11,2019,17,34.001,44.19432282583333
